Nom de l'établissement,Adresse,Ville,Pays,Activité,Type d'établissement,Nombre d'étoiles / Classement,Téléphone,Site Web,Email,LinkedIn,URL Google Maps
Elixir de bien-être," 5 Rue du Clos de Paulmy, 37160 Descartes, France",Abilly,France,Spa / bien-être,Institut de beauté,"5,0", +33 6 70 40 85 71,https://www.facebook.com/people/Elixir-De-Bien-%C3%AAtre/61564586968719/,,,https://www.google.com/maps/place/Elixir+de+bien-%C3%AAtre/data=!4m7!3m6!1s0x47fcfdd7ffab4d91:0x74afda60433870a5!8m2!3d46.9754191!4d0.6984335!16s%2Fg%2F11ln9d55_t!19sChIJkU2r_9f9_EcRpXA4Q2Dar3Q?authuser=0&hl=fr&rclk=1
Abilly,,Abilly,,Thalassothérapie,,,,,,,https://www.google.com/maps/place/Abilly/data=!4m7!3m6!1s0x47fcfb789cef4ae7:0x34081343d9b64385!8m2!3d46.9400954!4d0.7285035!16s%2Fm%2F03nvc6p!19sChIJ50rvnHj7_EcRhUO22UMTCDQ?authuser=0&hl=fr&rclk=1
Au Bonheur du Gave," 47 Rue du Gave, 64270 Lahontan, France",Abitain,France,Hôtel avec spa,,"4,8", +33 5 59 67 89 58,,,,https://www.google.com/maps/place/Au+Bonheur+du+Gave/data=!4m10!3m9!1s0xd56bf6223707705:0x2eaf02a00b387257!5m2!4m1!1i2!8m2!3d43.529657!4d-0.956406!16s%2Fg%2F11t_t_c6l7!19sChIJBXdwI2K_Vg0RV3I4C6ACry4?authuser=0&hl=fr&rclk=1
Chambres d'hôtes CLEROMILO pays basque," Lotissement, Le Village, 64130 Lichos, France",Abitain,France,Hôtel avec spa,,"4,3", +33 7 82 97 65 44,https://stayfr.click/chambres-tes-cleromilo-ycb922,,,https://www.google.com/maps/place/Chambres+d%27h%C3%B4tes+CLEROMILO+pays+basque/data=!4m10!3m9!1s0xd56e779be7cbcf9:0x1d9c8a3cc157f0f6!5m2!4m1!1i2!8m2!3d43.3077542!4d-0.8800882!16s%2Fg%2F11qn4ymmpy!19sChIJ-bx8vnnnVg0R9vBXwTyKnB0?authuser=0&hl=fr&rclk=1
Le Chalet d'ozenx," 1 Rte de Montestrucq, 64300 Ozenx-Montestrucq, France",Abitain,France,Hôtel avec spa,,, +33 7 87 92 87 59,,,,https://www.google.com/maps/place/Le+Chalet+d%27ozenx/data=!4m10!3m9!1s0xd56ed93a334377b:0x2496abfeabb6a82e!5m2!4m1!1i2!8m2!3d43.4365322!4d-0.7996118!16s%2Fg%2F11ytnmkwyd!19sChIJezc0o5PtVg0RLqi2q_6rliQ?authuser=0&hl=fr&rclk=1
Maison d'hôtes Elizondoa," Elizondoa, 211 Rte de Labets, 64120 Masparraute, France",Abitain,France,Hôtel avec spa,,"4,9", +33 7 71 79 22 77,https://elizondoa.fr/,contact@elizondoa.fr,,https://www.google.com/maps/place/Maison+d%27h%C3%B4tes+Elizondoa/data=!4m10!3m9!1s0xd56cf27ae81a3b5:0x1f5744a463b7d6e7!5m2!4m1!1i2!8m2!3d43.3900203!4d-1.09502!16s%2Fg%2F11h9kq2s7b!19sChIJtaOBrifPVg0R59a3Y6REVx8?authuser=0&hl=fr&rclk=1
Les Cabanes du Temps Suspendu - Le Château de Laàs," Château de, 64390 Laàs, France",Abitain,France,Hôtel avec spa,,"4,8", +33 6 79 36 80 63,https://www.cabanes-temps-suspendu.com/,laas@chateau-enigmes.com,,https://www.google.com/maps/place/Les+Cabanes+du+Temps+Suspendu+-+Le+Ch%C3%A2teau+de+La%C3%A0s/data=!4m10!3m9!1s0xd56e93dea8bfee9:0x40e4bcb7894166e2!5m2!4m1!1i2!8m2!3d43.3783826!4d-0.8475175!16s%2Fg%2F11ddz__80c!19sChIJ6f6L6j3pVg0R4mZBibe85EA?authuser=0&hl=fr&rclk=1
Domaine Laboudigue," 629 Chem. Larrue, 64300 Salles-Mongiscard, France",Abitain,France,Hôtel avec spa,,"4,8", +33 6 50 87 28 86,https://frbed.click/maison-boudigue-nre8ov,,,https://www.google.com/maps/place/Domaine+Laboudigue/data=!4m10!3m9!1s0xd5694a4e8aa4c9f:0x844787f4a27c0132!5m2!4m1!1i2!8m2!3d43.493325!4d-0.8374495!16s%2Fg%2F11f049hj99!19sChIJn0yq6KSUVg0RMgF8ovSHR4Q?authuser=0&hl=fr&rclk=1
Les nuits de Cassiopée," 242 Rte du Camping, 40300 Sorde-l'Abbaye, France",Abitain,France,Hôtel avec spa,,"4,8", +33 6 15 02 36 90,https://www.lesnuitsdecassiopee.com/,,,https://www.google.com/maps/place/Les+nuits+de+Cassiop%C3%A9e/data=!4m10!3m9!1s0xd56b7be93595f05:0x1508521e4b5a171a!5m2!4m1!1i2!8m2!3d43.531148!4d-1.0645178!16s%2Fg%2F11rg8v0p12!19sChIJBV9Zk763Vg0RGhdaSx5SCBU?authuser=0&hl=fr&rclk=1
Les Treilles de Salies," 3 Chem. de Labarthe, 64270 Salies-de-Béarn, France",Abitain,France,Hôtel avec spa,,"4,9", +33 6 32 11 76 30,https://lestreillesdesalies.com/,treillessalies@gmail.com,,https://www.google.com/maps/place/Les+Treilles+de+Salies/data=!4m10!3m9!1s0xd56c1101e998bad:0x7a127027999a359f!5m2!4m1!1i2!8m2!3d43.4731555!4d-0.9191757!16s%2Fg%2F11v3_0zf25!19sChIJrYuZHhDBVg0RnzWamSdwEno?authuser=0&hl=fr&rclk=1
Thermes de Cambo-les-Bains," 5 Av. des Thermes, 64250 Cambo-les-Bains, France",Abitain,France,Centre thermal,Thermes,"4,5", +33 5 59 29 02 00,https://www.chainethermale.fr/cambo-les-bains,cambolesbains@chainethermale.fr,,https://www.google.com/maps/place/Thermes+de+Cambo-les-Bains/data=!4m7!3m6!1s0xd513a54ea1828dd:0xa3f3e8da5cddbf6!8m2!3d43.3546709!4d-1.3876673!16s%2Fg%2F1td1l9mm!19sChIJ3SgY6lQ6UQ0R9tvNpY0-Pwo?authuser=0&hl=fr&rclk=1
SELYA RESORT THERMAL & SPA," Cr du Jardin public, 64270 Salies-de-Béarn, France",Abitain,France,Centre thermal,Thermes,"4,1", +33 5 59 38 10 11,http://www.selya-resort.com/,,,https://www.google.com/maps/place/SELYA+RESORT+THERMAL+%26+SPA/data=!4m7!3m6!1s0xd56c0731b745517:0x4a5195e25051454b!8m2!3d43.4727186!4d-0.9272741!16s%2Fg%2F1yh7_y_9d!19sChIJF1V0G3PAVg0RS0VRUOKVUUo?authuser=0&hl=fr&rclk=1
Aquazone," Lac de Saint-Pée, 144 promenade Herri Urrats, 64310 Saint-Pée-sur-Nivelle, France",Abitain,France,Parc aquatique,Parc aquatique,"4,5", +33 6 79 72 48 79,https://aquazone64.com/,contact@aqua-zone.fr,,https://www.google.com/maps/place/Aquazone/data=!4m7!3m6!1s0xd513e0de8265e47:0x432c8e4342c5dc0a!8m2!3d43.3440699!4d-1.5260338!16s%2Fg%2F11c3100g23!19sChIJR14m6A0-UQ0RCtzFQkOOLEM?authuser=0&hl=fr&rclk=1
Aqua Béarn," Chem. de Ribère, 64400 Goès, France",Abitain,France,Parc aquatique,Parc de loisirs,"4,0", +33 5 59 39 20 75,https://aquabearn-loisirs.fr/aqua-bearn/,parcaquabearn@gmail.com,,https://www.google.com/maps/place/Aqua+B%C3%A9arn/data=!4m7!3m6!1s0xd5655b13e21ab0f:0xf57e639b47660755!8m2!3d43.2259503!4d-0.5693305!16s%2Fg%2F1tfg8_l8!19sChIJD6shPrFVVg0RVQdmR5tjfvU?authuser=0&hl=fr&rclk=1
Sérénité Basque - Spa Privatif & Soins - Gîtes," 236 Ukuteko Bidea, 64250 Ainhoa, France",Abitain,France,Spa / bien-être,Spa,"4,9", +33 7 85 79 64 35,https://www.serenitebasque.com/,spaprivatif.ukutea@gmail.com,,https://www.google.com/maps/place/S%C3%A9r%C3%A9nit%C3%A9+Basque+-+Spa+Privatif+%26+Soins+-+G%C3%AEtes/data=!4m7!3m6!1s0xd51230d5525adf9:0xe99aae8e17c3d3f2!8m2!3d43.300177!4d-1.490978!16s%2Fg%2F11fnrwcwbj!19sChIJ-a0lVQ0jUQ0R8tPDF46umuk?authuser=0&hl=fr&rclk=1
Spa privatif Bulle d’Eden & massages duo boucau bayonne côte Basque," 45 Rue de l'Orée du Bois, 64340 Boucau, France",Abitain,France,Spa / bien-être,Institut de massages,"5,0", +33 6 63 05 40 84,http://www.bullededen.com/,bullededen@gmail.com,,https://www.google.com/maps/place/Spa+privatif+Bulle+d%E2%80%99Eden+%26+massages+duo+boucau+bayonne+c%C3%B4te+Basque/data=!4m7!3m6!1s0xd5140fbd0f9cecf:0xcf46fe6d7f7c874a!8m2!3d43.5224264!4d-1.4757875!16s%2Fg%2F1ptz5m3js!19sChIJz8750PtAUQ0RSod8f23-Rs8?authuser=0&hl=fr&rclk=1
Tatya Spa - Centre de bien être et massages," 65 Chem. de Roumendas, 64360 Monein, France",Abitain,France,Spa / bien-être,Centre de bien-être,"4,9", +33 6 16 59 68 70,http://tatya-spa.fr/,tatya-spa@orange.fr,,https://www.google.com/maps/place/Tatya+Spa+-+Centre+de+bien+%C3%AAtre+et+massages/data=!4m7!3m6!1s0xd5659e1ea533bc7:0x892b9a7c744827d4!8m2!3d43.3303505!4d-0.5889146!16s%2Fg%2F11p_609qk9!19sChIJxztT6uFZVg0R1CdIdHyaK4k?authuser=0&hl=fr&rclk=1
Thalassothérapie Thalazur Saint-Jean-de-Luz," Pl. Maurice Ravel, 64500 Saint-Jean-de-Luz, France",Abitain,France,Thalassothérapie,Institut de spa et bien-être,"4,3", +33 5 59 51 51 51,https://www.thalazur.fr/saint-jean-de-luz/thalasso/,inforeservation@thalazur.fr,https://www.linkedin.com/company/thalazur,https://www.google.com/maps/place/Thalassoth%C3%A9rapie+Thalazur+Saint-Jean-de-Luz/data=!4m7!3m6!1s0xd5111f4175bc8ab:0xf57d909496850f04!8m2!3d43.391365!4d-1.6608729!16s%2Fg%2F11clywdrcn!19sChIJq8hbF_QRUQ0RBA-FlpSQffU?authuser=0&hl=fr&rclk=1
Thalazur Saint-Jean-de-Luz," Pl. Maurice Ravel, 64500 Saint-Jean-de-Luz, France",Abitain,France,Thalassothérapie,,"4,5", +33 5 59 51 51 51,https://www.thalazur.fr/saint-jean-de-luz/hotel/,inforeservation@thalazur.fr,https://www.linkedin.com/company/thalazur,https://www.google.com/maps/place/Thalazur+Saint-Jean-de-Luz/data=!4m10!3m9!1s0xd5111f414b21e1d:0xf471544273bcb90!5m2!4m1!1i2!8m2!3d43.3908587!4d-1.660422!16s%2Fg%2F1tgwtl1g!19sChIJHR6yFPQRUQ0RkMs7J0QVRw8?authuser=0&hl=fr&rclk=1
RELAIS THALASSO Hendaye I Hôtel Serge Blanco," 125 Bd de la Mer, 64700 Hendaye, France",Abitain,France,Thalassothérapie,,"4,0", +33 5 59 51 35 35,https://hendaye.relaisthalasso.com/,,,https://www.google.com/maps/place/RELAIS+THALASSO+Hendaye+I+H%C3%B4tel+Serge+Blanco/data=!4m10!3m9!1s0xd51090cf6e5e01f:0x542dbb0b42b9bb45!5m2!4m1!1i2!8m2!3d43.3711071!4d-1.7858762!16s%2Fg%2F11c5_ww64q!19sChIJH-Dl9gwJUQ0RRbu5Qgu7LVQ?authuser=0&hl=fr&rclk=1
"Domaine des Etangs, Auberge Collection"," Domaine des Etangs, 16310 Massignac, France",Abjat-sur-Bandiat,France,Hôtel avec spa,,"4,8", +33 5 45 61 85 00,https://fr.auberge.com/domaine-des-etangs/?utm_source=gmb&utm_medium=Yext,,https://www.linkedin.com/company/auberge-collection,"https://www.google.com/maps/place/Domaine+des+Etangs,+Auberge+Collection/data=!4m10!3m9!1s0x47fef7bbc03eef79:0xca5136c9c4c84eac!5m2!4m1!1i2!8m2!3d45.7756621!4d0.6434264!16s%2Fg%2F1thp7c4s!19sChIJee8-wLv3_kcRrE7IxMk2Uco?authuser=0&hl=fr&rclk=1"
Espace Chand’Hôme," 9 La Chapelle, 16310 Montembœuf, France",Abjat-sur-Bandiat,France,Hôtel avec spa,,"5,0", +33 6 75 55 03 15,https://escale.chandhome.fr/,,,https://www.google.com/maps/place/Espace+Chand%E2%80%99H%C3%B4me/data=!4m10!3m9!1s0x47fe59fc535efa6d:0x1bc7e199931bd0f8!5m2!4m1!1i2!8m2!3d45.7567949!4d0.55757!16s%2Fg%2F11xh8_hjk_!19sChIJbfpeU_xZ_kcR-NAbk5nhxxs?authuser=0&hl=fr&rclk=1
La Closerie du Petit Chatenet," 252 Le Petit Châtenet, 24530 Villars, France",Abjat-sur-Bandiat,France,Hôtel avec spa,,"5,0", +33 6 28 06 91 80,,,,https://www.google.com/maps/place/La+Closerie+du+Petit+Chatenet/data=!4m10!3m9!1s0x47ff0f0043aedc03:0x8401b2108fe17cb7!5m2!4m1!1i2!8m2!3d45.4015198!4d0.7528501!16s%2Fg%2F11xrslmkt7!19sChIJA9yuQwAP_0cRt3zhjxCyAYQ?authuser=0&hl=fr&rclk=1
Gîtes la petite maison et la maison triangulaire," 6 Rue de la Lanterne, 16310 Roussines, France",Abjat-sur-Bandiat,France,Hôtel avec spa,,"5,0", +33 6 78 30 81 96,http://www.gitesespacedetente.com/,,,https://www.google.com/maps/place/G%C3%AEtes+la+petite+maison+et+la+maison+triangulaire/data=!4m10!3m9!1s0x47fef8770ee8d8a1:0xd6a7e6b7e44d8d3!5m2!4m1!1i2!8m2!3d45.7235968!4d0.6196946!16s%2Fg%2F11c2lbj_l9!19sChIJodjoDnf4_kcR09hEfmt-ag0?authuser=0&hl=fr&rclk=1
Bulle d R," 7 Rue de la Croix Blanche, 87230 Dournazac, France",Abjat-sur-Bandiat,France,Hôtel avec spa,,"4,6", +33 6 82 91 96 25,http://www.nuit-dans-une-bulle.fr/,contact@nuit-dans-une-bulle.fr,,https://www.google.com/maps/place/Bulle+d+R/data=!4m10!3m9!1s0x47fee07a14be2f9d:0xe90eb3dcfc7d632a!5m2!4m1!1i2!8m2!3d45.6265173!4d0.9196176!16s%2Fg%2F11bzq0mw86!19sChIJnS--FHrg_kcRKmN9_NyzDuk?authuser=0&hl=fr&rclk=1
BANDIAT le domaine," 2 Rte des Osmondes, 24300 Abjat-sur-Bandiat, France",Abjat-sur-Bandiat,France,Centre thermal,,"5,0", +33 5 53 05 00 22,https://domainedubandiat.com/,,,https://www.google.com/maps/place/BANDIAT+le+domaine/data=!4m10!3m9!1s0x47fefd1635adaf47:0x5148f4f46c7f53c4!5m2!4m1!1i2!8m2!3d45.6002144!4d0.7571996!16s%2Fg%2F11zfym89vv!19sChIJR6-tNRb9_kcRxFN_bPT0SFE?authuser=0&hl=fr&rclk=1
L'Auberge," 3a Pl. des Commerces, 24300 Abjat-sur-Bandiat, France",Abjat-sur-Bandiat,France,Centre thermal,,"4,6", +33 6 15 26 61 41,http://www.aubergeabjat.fr/,aubergeabjat@orange.fr,,https://www.google.com/maps/place/L%27Auberge/data=!4m10!3m9!1s0x47ff02b13d8a9f87:0xef1251502a204ff3!5m2!4m1!1i2!8m2!3d45.583322!4d0.757603!16s%2Fg%2F11cs6llhdw!19sChIJh5-KPbEC_0cR808gKlBREu8?authuser=0&hl=fr&rclk=1
BANDIAT," 2 Chem. des Osmondes, 24300 Abjat-sur-Bandiat, France",Abjat-sur-Bandiat,France,Centre thermal,,"4,8",,https://www.domainedubandiat.com/manger,,,https://www.google.com/maps/place/BANDIAT/data=!4m10!3m9!1s0x47fefd4a69e2a12d:0x55d065d1e536bce0!5m2!4m1!1i2!8m2!3d45.6002863!4d0.757256!16s%2Fg%2F11y58dxxyj!19sChIJLaHiaUr9_kcR4Lw25dFl0FU?authuser=0&hl=fr&rclk=1
Le Parc du Bournat - Un Voyage en 1900," 191 All. Paul-Jean Souriau, 24260 Le Bugue, France",Abjat-sur-Bandiat,France,Parc aquatique,Parc à thème,"4,3", +33 5 53 08 41 99,https://www.parclebournat.fr/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=fiche-google,infos@parclebournat.fr,,https://www.google.com/maps/place/Le+Parc+du+Bournat+-+Un+Voyage+en+1900/data=!4m7!3m6!1s0x12ab498e5bfb4291:0xe3ec0f4e767dd6da!8m2!3d44.9137072!4d0.9311262!16s%2Fg%2F11b5v390hd!19sChIJkUL7W45JqxIR2tZ9dk4P7OM?authuser=0&hl=fr&rclk=1
Parc aquatique/ attractions Quercyland - Lot," Rue des Ondines, 46200 Souillac, France",Abjat-sur-Bandiat,France,Parc aquatique,Parc aquatique,"3,1", +33 5 65 32 72 61,http://www.copeyre.com/,,,https://www.google.com/maps/place/Parc+aquatique%2F+attractions+Quercyland+-+Lot/data=!4m7!3m6!1s0x12acb6f6462849ab:0x547e19d401988007!8m2!3d44.8886457!4d1.4782183!16s%2Fg%2F113g4ym0_!19sChIJq0koRva2rBIRB4CYAdQZflQ?authuser=0&hl=fr&rclk=1
Etangs du Bos," 460 Rte des Etangs du Bos, 24260 Saint-Chamassy, France",Abjat-sur-Bandiat,France,Parc aquatique,Parc aquatique,"4,2", +33 5 53 54 74 60,https://www.le-bos.com/,contact@le-bos.com,,https://www.google.com/maps/place/Etangs+du+Bos/data=!4m7!3m6!1s0x12ab48c624a483f7:0x98e8613d1fd6f464!8m2!3d44.868751!4d0.969209!16s%2Fg%2F11g9q53w65!19sChIJ94OkJMZIqxIRZPTWHz1h6Jg?authuser=0&hl=fr&rclk=1
Parc aquatique la Saule," Borgne de la Saule, 46110 Bétaille, France",Abjat-sur-Bandiat,France,Parc aquatique,Parc aquatique,"4,2", +33 5 65 32 55 75,http://lasaule.fr/,contact@lasaule.fr,,https://www.google.com/maps/place/Parc+aquatique+la+Saule/data=!4m7!3m6!1s0x12acd3e873cbd2bb:0xd2fa980ecf35d311!8m2!3d44.9220897!4d1.7349953!16s%2Fg%2F1vd3xvgh!19sChIJu9LLc-jTrBIREdM1zw6Y-tI?authuser=0&hl=fr&rclk=1
Le Splash," 509 Rue Louis Bessou, 19400 Argentat-sur-Dordogne, France",Abjat-sur-Bandiat,France,Parc aquatique,Parc aquatique,"4,2", +33 5 55 28 31 70,http://www.argentat.fr/splash,,,https://www.google.com/maps/place/Le+Splash/data=!4m7!3m6!1s0x47f87b097478c9d3:0xd2ea688c7b79a7b0!8m2!3d45.1003803!4d1.944104!16s%2Fg%2F113ggpx6s!19sChIJ08l4dAl7-EcRsKd5e4xo6tI?authuser=0&hl=fr&rclk=1
Aquaparc du Coucou," Étang du Coucou, 24390 Hautefort, France",Abjat-sur-Bandiat,France,Parc aquatique,Centre aquatique,"4,3", +33 5 53 50 86 97,https://sites.google.com/view/parcaquatiqueducoucou/accueil,campingducoucou@orange.fr,,https://www.google.com/maps/place/Aquaparc+du+Coucou/data=!4m7!3m6!1s0x47ff49798b8288a1:0x2760c1f15fb31373!8m2!3d45.2529451!4d1.1373887!16s%2Fg%2F1tppr9_t!19sChIJoYiCi3lJ_0cRcxOzX_HBYCc?authuser=0&hl=fr&rclk=1
Aquatic Lagoon," La Menuse, 24260 Saint-Félix-de-Reillac-et-Mortemart, France",Abjat-sur-Bandiat,France,Parc aquatique,Parc aquatique,"2,8", +33 5 53 07 10 74,https://www.aquaticlagoon.fr/,,,https://www.google.com/maps/place/Aquatic+Lagoon/data=!4m7!3m6!1s0x12ab35d91acce127:0xb730c41725643a4e!8m2!3d44.9872264!4d0.8890829!16s%2Fg%2F11nyttyblm!19sChIJJ-HMGtk1qxIRTjpkJRfEMLc?authuser=0&hl=fr&rclk=1
Aqua delire," étang de, 24620 Tamniès, France",Abjat-sur-Bandiat,France,Parc aquatique,Parc aquatique,"4,7", +33 6 88 18 03 52,https://www.sarlat-tourisme.com/offres/aqua-delire-tamnies-fr-4593798/,jquery@ananas.min.mjs,,https://www.google.com/maps/place/Aqua+delire/data=!4m7!3m6!1s0x12ab558cb3f0815f:0x323f0012bf562620!8m2!3d44.9653364!4d1.162345!16s%2Fg%2F11vbs8zjlh!19sChIJX4Hws4xVqxIRICZWvxIAPzI?authuser=0&hl=fr&rclk=1
Parc aquatique," 23460 Royère-de-Vassivière, France",Abjat-sur-Bandiat,France,Parc aquatique,Parc aquatique,"5,0",,,,,https://www.google.com/maps/place/Parc+aquatique/data=!4m7!3m6!1s0x47f9a7149e6a5973:0x6c00cdb9f81e333!8m2!3d45.7903872!4d1.8977182!16s%2Fg%2F11jkwt4968!19sChIJc1lqnhSn-UcRM-OBn9sMwAY?authuser=0&hl=fr&rclk=1
Jacquou Parc," La Ménuse D710, 286 Rte des Landettes, 24260 Le Bugue, France",Abjat-sur-Bandiat,France,Parc aquatique,Parc d'attractions,"3,6", +33 5 53 54 15 57,http://www.jacquouparc.com/,,,https://www.google.com/maps/place/Jacquou+Parc/data=!4m7!3m6!1s0x12ab35486e89b46d:0x45887c005a074b61!8m2!3d44.9885291!4d0.8868594!16s%2Fg%2F11cn5lzr4l!19sChIJbbSJbkg1qxIRYUsHWgB8iEU?authuser=0&hl=fr&rclk=1
bulle d'art Mo-nid,,Abjat-sur-Bandiat,,Spa / bien-être,Institut de massages,"5,0", +33 7 67 63 66 26,http://www.bulledartmonid.wordpress.com/,bulledartmonid@gmail.com,,https://www.google.com/maps/place/bulle+d%27art+Mo-nid/data=!4m7!3m6!1s0x497f62e8c79045e9:0xbdaba95ab9ea6cdf!8m2!3d45.5825125!4d0.7655414!16s%2Fg%2F11w4wvy2xv!19sChIJ6UWQx-hif0kR32zquVqpq70?authuser=0&hl=fr&rclk=1
Massage bien-être Juliette - Deep tissue," 22 Route de St Mathieu, 24360 Piégut-Pluviers, France",Abjat-sur-Bandiat,France,Spa / bien-être,Institut de massages,"5,0", +33 6 75 41 36 30,https://massage-juliette.fr/,,,https://www.google.com/maps/place/Massage+bien-%C3%AAtre+Juliette+-+Deep+tissue/data=!4m7!3m6!1s0x47fefd484c2be527:0x1428b339b9fb1dfc!8m2!3d45.6250893!4d0.7026641!16s%2Fg%2F11n3cxq892!19sChIJJ-UrTEj9_kcR_B37uTmzKBQ?authuser=0&hl=fr&rclk=1
Domaine de gavion," 9 Rue Jean Baptiste Dubois, 62530 Hersin-Coupigny, France",Ablain-Saint-Nazaire,France,Hôtel avec spa,,"4,9", +33 6 12 62 73 51,http://domainedegavion.fr/,,,https://www.google.com/maps/place/Domaine+de+gavion/data=!4m10!3m9!1s0x47dd3d10808cd25b:0x1eba6860b75b281e!5m2!4m1!1i2!8m2!3d50.4538701!4d2.6491028!16s%2Fg%2F11tg9d3b_m!19sChIJW9KMgBA93UcRHihbt2Bouh4?authuser=0&hl=fr&rclk=1
Ethic étapes Parc d'Olhain," 1 Rue de Rebreuve, 62620 Maisnil-lès-Ruitz, France",Ablain-Saint-Nazaire,France,Hôtel avec spa,,"4,1", +33 3 21 27 91 79,,,,https://www.google.com/maps/place/Ethic+%C3%A9tapes+Parc+d%27Olhain/data=!4m10!3m9!1s0x47dd17ec1c7311bd:0x6c7457a15146664a!5m2!4m1!1i2!8m2!3d50.4370697!4d2.5838959!16s%2Fg%2F11m1z3p_ty!19sChIJvRFzHOwX3UcRSmZGUaFXdGw?authuser=0&hl=fr&rclk=1
Le loft SPA Lens," 34 Av. Alfred Maes, 62300 Lens, France",Ablain-Saint-Nazaire,France,Hôtel avec spa,,"4,9", +33 6 65 31 19 22,https://hannah-cesarine.fr/,leloftspalens@free.fr,,https://www.google.com/maps/place/Le+loft+SPA+Lens/data=!4m10!3m9!1s0x47dd3112568c5c3f:0xdaf957a3b6422fb!5m2!4m1!1i2!8m2!3d50.4287933!4d2.8175328!16s%2Fg%2F11ngvxl7pk!19sChIJP1yMVhIx3UcR-yJkO3qVrw0?authuser=0&hl=fr&rclk=1
AVEC TOI suite spa," 13 Rue des Carrières, 62620 Barlin, France",Ablain-Saint-Nazaire,France,Hôtel avec spa,,"4,7", +33 6 22 71 46 74,https://www.facebook.com/groups/1008044923254279/?ref=share,,,https://www.google.com/maps/place/AVEC+TOI+suite+spa/data=!4m10!3m9!1s0x47dd17f308729b9b:0x70498f2196866d6e!5m2!4m1!1i2!8m2!3d50.4541908!4d2.5974097!16s%2Fg%2F11rpq9q77n!19sChIJm5tyCPMX3UcRbm2GliGPSXA?authuser=0&hl=fr&rclk=1
Levray Reve," 10 Rue d'Avranches, 62670 Mazingarbe, France",Ablain-Saint-Nazaire,France,Hôtel avec spa,,"3,9", +33 6 63 47 09 04,http://levray-reve.fr/,,,https://www.google.com/maps/place/Levray+Reve/data=!4m10!3m9!1s0x47dd3bda89184c47:0x91bdade95ee7f09c!5m2!4m1!1i2!8m2!3d50.471092!4d2.7458625!16s%2Fg%2F11sk2q2903!19sChIJR0wYido73UcRnPDnXumtvZE?authuser=0&hl=fr&rclk=1
Spa de la Tour Eiffel - Sains-en-gohelle," 168q Av. François Mitterrand, 62114 Sains-en-Gohelle, France",Ablain-Saint-Nazaire,France,Hôtel avec spa,,"4,9", +33 6 31 77 03 83,https://spadelatoureiffel.com/,,,https://www.google.com/maps/place/Spa+de+la+Tour+Eiffel+-+Sains-en-gohelle/data=!4m10!3m9!1s0x47dd3d8cdafd1ca7:0x2bca11202904e089!5m2!4m1!1i2!8m2!3d50.451477!4d2.6867231!16s%2Fg%2F11ptllhcpc!19sChIJpxz92ow93UcRieAEKSARyis?authuser=0&hl=fr&rclk=1
Ospaloft / Appart & Spa Privatif," 121 Rue Saint-Aubert, 62000 Arras, France",Ablain-Saint-Nazaire,France,Hôtel avec spa,,"5,0", +33 6 48 07 98 88,http://www.ospaloft.fr/,reservation@ospaloft.fr,,https://www.google.com/maps/place/Ospaloft+%2F+Appart+%26+Spa+Privatif/data=!4m10!3m9!1s0x47dd47b9190ba1f7:0x5acf493d42798ad2!5m2!4m1!1i2!8m2!3d50.2927293!4d2.76846!16s%2Fg%2F11t_kzqzt5!19sChIJ96ELGblH3UcR0op5Qj1Jz1o?authuser=0&hl=fr&rclk=1
La Maison des Oiseaux. Roulotte," Le Clos Manon, 3 Rue Georges Louchet, 62217 Achicourt, France",Ablain-Saint-Nazaire,France,Hôtel avec spa,,"4,9", +33 6 62 83 95 41,,,,https://www.google.com/maps/place/La+Maison+des+Oiseaux.+Roulotte/data=!4m10!3m9!1s0x47dd487ddd5445c1:0x8148a48ac22e362c!5m2!4m1!1i2!8m2!3d50.2750259!4d2.7801028!16s%2Fg%2F11hx61qfpt!19sChIJwUVU3X1I3UcRLDYuwoqkSIE?authuser=0&hl=fr&rclk=1
HAPPY SPA," 9 Rue Happé Garbe, 62530 Gouy-Servins, France",Ablain-Saint-Nazaire,France,Hôtel avec spa,,"5,0", +33 7 49 70 36 95,http://www.happyspa.fr/,,,https://www.google.com/maps/place/HAPPY+SPA/data=!4m10!3m9!1s0x47dd3d73a6467fe3:0x3ff46ab4d7cfd334!5m2!4m1!1i2!8m2!3d50.4041738!4d2.6495015!16s%2Fg%2F11shllr_n8!19sChIJ439GpnM93UcRNNPP17Rq9D8?authuser=0&hl=fr&rclk=1
"Le 47, Une Pause à la Campagne - Gîtes et Détente - Spa"," 47 Rue de la Croix, 62161 Duisans, France",Ablain-Saint-Nazaire,France,Hôtel avec spa,,"4,9", +33 9 55 39 54 10,https://www.le47-upac.fr/,upac.le47@gmail.com,,"https://www.google.com/maps/place/Le+47,+Une+Pause+%C3%A0+la+Campagne+-+G%C3%AEtes+et+D%C3%A9tente+-+Spa/data=!4m10!3m9!1s0x47dd41d43325734b:0x360658539a16362c!5m2!4m1!1i2!8m2!3d50.3051327!4d2.6801412!16s%2Fg%2F11vm02td0x!19sChIJS3MlM9RB3UcRLDYWmlNYBjY?authuser=0&hl=fr&rclk=1"
